pred_class,mean,std,count
grayhole,0.2671966976869153,0.030940487921658752,4549
high,0.24892968170789267,0.021431110339197947,8977
injection,0.6183629784539642,0.20474110527503153,174423
normal,1.0,0.0,54
poisoned,0.3177222213182825,0.05418974261768761,12034
random,0.33668109668109664,0.06333452466840335,15
