true_class,injection,masquerade,random
grayhole,99.55497774888744,0.4150207510375519,0.03000150007500375
high_StNum,54.845,45.155,0.0
injection,97.57000000000001,2.2950000000000004,0.135
inverse_replay,100.0,0.0,0.0
masquerade_fake_fault,99.105,0.865,0.03
masquerade_fake_normal,83.665,16.335,0.0
normal,98.93747343683592,1.0325258131453285,0.030000750018750466
poisoned_high_rate,96.38,3.61,0.01
random_replay,98.16,1.815,0.025
unknown,0.0,0.0,100.0
