,grayhole,high_StNum,injection,inverse_replay,masquerade_fake_fault,masquerade_fake_normal,normal,poisoned_high_rate,random_replay,unknown
rule_high_StNum_cb_status_timestamp_diff_delay_anomalous,0,0,0,0,0,0,0,0,0,0
rule_high_StNum_cb_status_timestamp_diff_frame_length_diff_anomalous,0,0,0,0,0,0,0,0,0,0
rule_inverse_replay_alternancia,19970,20000,19850,20000,19964,19994,39942,20000,19975,0
rule_inverse_replay_frequencia_irregular,0,0,0,0,0,0,0,0,0,0
rule_inverse_replay_combinado,15822,7599,0,6798,12282,19010,28454,19802,13751,0
rule_inverse_replay_inconsistencia,19987,19969,19964,19991,19973,19996,39948,19998,19968,54
rule_inverse_replay_retransmissao_exata,29,0,150,0,36,6,57,0,25,0
rule_inverse_replay_falsificacao_consistente,0,0,0,0,0,0,0,0,0,0
rule_inverse_replay_pacotes_desaparecidos,19970,20000,19850,20000,19964,19994,39942,20000,19975,54
rule_inverse_replay_rajada_de_pacotes,19999,20000,20000,20000,20000,20000,39999,20000,20000,0
rule_inverse_replay_diferenca_de_tempo_pequena,18468,8866,8731,17932,13281,15987,30886,19933,14491,0
rule_poisoned_high_rate_frequency_irregular,0,0,0,0,0,0,0,0,0,0
rule_poisoned_high_rate_anomaly_statistical,0,0,0,0,0,0,0,0,0,0
rule_poisoned_high_rate_pattern_specific,0,0,0,0,0,0,0,0,0,0
rule_poisoned_high_rate_less_used,0,0,0,0,0,0,0,0,0,0
