Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_grayhole_goose_length,0.2933,0.7997,0.221,260.536,0.645
rule_grayhole_apdu_size,0.2955,0.8393,0.22,340.937,0.661
rule_high_StNum_timeFromLastChange,0.297,0.3388,0.222,63.888,0.627
rule_random_replay_frame_length_diff_incremento_anomalo,0.2975,0.2448,0.23,29.129,0.649
rule_random_replay_apdu_size_diff_incremento_anomalo,0.2993,0.8017,0.23,313.605,0.665
rule_random_replay_apdu_size_diff_frequencia_irregular,0.3001,0.2851,0.232,22.325,0.664
rule_grayhole_combined,0.3016,0.4382,0.214,92.337,0.6655
rule_grayhole_frame_length,0.3033,0.9907,0.22,369.535,0.678
rule_random_replay_frame_length_diff_alternancia,0.3102,0.5239,0.232,143.832,0.746
rule_injection_timefromlastchange,0.3103,0.3971,0.242,115.075,0.6575
rule_masquerade_fake_normal_unusual_delay,0.3114,1.7,0.217,624.922,0.695
rule_random_replay_frame_length_diff_frequencia_irregular,0.3121,0.7894,0.232,300.026,0.693
rule_masquerade_fake_normal_frequencia_anomalia_go_id,0.3133,0.7868,0.24,296.859,0.65
rule_masquerade_fake_normal_pacotes_desaparecem_reaparecem_sq_num,0.3134,0.3725,0.238,72.277,0.66
rule_injection_timestampdiff,0.3151,1.3116,0.236,564.688,0.693
rule_random_replay_apdu_size_diff_anomalia,0.3178,0.7445,0.245,304.344,0.673
rule_random_replay_large_stdiff,0.3185,0.3611,0.234,66.75,0.694
rule_high_StNum_stDiff,0.3188,0.7353,0.218,289.047,0.692
rule_masquerade_fake_normal_mudancas_anomalias_go_id,0.319,0.6564,0.239,174.667,0.688
rule_random_replay_timestamp_diff_alternancia,0.3206,0.329,0.236,29.252,0.722
rule_random_replay_cb_status_diff_alternancia,0.3218,0.4124,0.238,72.666,0.696
rule_masquerade_fake_normal_mudancas_anomalias_t_diff,0.3222,0.7665,0.245,306.102,0.66
rule_inverse_replay_frequency_irregular,0.323,0.7459,0.252,307.223,0.6765
rule_masquerade_fake_normal_falsification,0.3231,0.8276,0.24,348.891,0.6825
rule_random_replay_goose_length_diff_alternancia,0.3235,0.8622,0.233,351.054,0.718
rule_random_replay_cb_status_diff_anomalia,0.3241,0.7382,0.247,304.367,0.703
rule_random_replay_goose_length_diff_frequencia_irregular,0.3243,0.298,0.239,21.874,0.726
rule_random_replay_large_sqdiff,0.3254,0.6088,0.24,190.509,0.727
rule_grayhole_frame_length_diff_out_of_range,0.3255,0.6624,0.247,238.087,0.68
rule_injection_sqdiff,0.3256,1.3982,0.235,563.683,0.698
rule_random_replay_goose_length_diff_incremento_anomalo,0.3258,3.4115,0.235,1367.462,0.711
rule_random_replay_cb_status_diff_incremento_anomalo,0.3258,0.3847,0.232,44.207,0.744
rule_masquerade_fake_fault_tdiff,0.3262,0.5495,0.242,107.61,0.69
rule_masquerade_fake_normal_rajada_pacotes_intervalo_curto,0.3271,0.7923,0.249,333.0,0.683
rule_masquerade_fake_fault_timestampdiff,0.3275,1.4597,0.241,615.433,0.712
rule_grayhole_stnum_zero,0.3276,0.7587,0.226,201.659,0.705
rule_random_replay_apdu_size_diff_alternancia,0.3284,1.5301,0.237,618.169,0.729
rule_random_replay_delay_anomalia,0.3289,0.4131,0.251,68.658,0.694
rule_random_replay_st_num_incremento_anomalia,0.329,0.7796,0.239,309.587,0.698
rule_masquerade_fake_fault_flood,0.3298,0.626,0.24,113.553,0.705
rule_poisoned_high_rate_sqnum,0.3301,0.8143,0.22,313.23,0.725
rule_injection_stdiff,0.3303,0.3876,0.24,88.62,0.72
rule_high_StNum_StNum,0.3313,1.0663,0.222,405.286,0.722
rule_high_StNum_combined,0.3329,0.6359,0.227,136.479,0.838
rule_inverse_replay_pacotes_frame_length_diff_grande,0.3331,0.7855,0.243,195.956,0.725
rule_grayhole_injection,0.3333,0.7289,0.272,274.623,0.627
rule_inverse_replay_time_diff,0.3334,1.1672,0.245,493.347,0.716
rule_masquerade_fake_normal_falsification_cb_status,0.3336,0.6391,0.226,112.178,0.768
rule_random_replay_replay_consistente,0.3341,0.482,0.242,137.677,0.705
rule_random_replay_cb_status_diff_frequencia_irregular,0.3343,1.6043,0.233,700.291,0.768
rule_random_replay_timestamp_diff_frequencia_irregular,0.3346,0.5075,0.241,108.671,0.755
rule_inverse_replay_tdiff,0.3347,0.4218,0.24,132.225,0.722
rule_injection_ethdst_falsification,0.335,0.7969,0.272,323.06,0.658
rule_grayhole_delay_out_of_range,0.3357,0.9256,0.257,321.24,0.705
rule_grayhole_timediff,0.3358,2.1813,0.231,913.359,0.692
rule_random_replay_goose_length_diff_desvio,0.3365,0.4594,0.263,120.267,0.732
rule_random_replay_cb_status_alterado,0.3367,1.3083,0.239,550.331,0.765
rule_masquerade_fake_fault_frequencia,0.337,2.1096,0.241,922.305,0.718
rule_injection_timestamp_diff_anomaly,0.3372,0.464,0.253,102.66,0.716
rule_injection_tdiff,0.3375,5.4773,0.22,2040.4,0.653
rule_random_replay_sq_num_incremento_anomalia,0.3396,1.8162,0.24,725.99,0.732
rule_grayhole_timestamp_diff_out_of_range,0.341,0.8315,0.252,311.608,0.707
rule_masquerade_fake_fault_time_diff_anomaly_sequence,0.3414,0.7385,0.247,288.688,0.6795
rule_masquerade_fake_normal_falsification_eth_src_dst,0.3419,2.1284,0.259,735.755,0.706
rule_masquerade_fake_normal_frequencia_anomalia_estado_disjuntor,0.3419,0.4386,0.242,68.536,0.764
rule_inverse_replay_pacotes_timestamp_diff_pequeno,0.3419,1.1382,0.249,391.314,0.742
rule_masquerade_fake_fault_frequencia2,0.3422,0.7397,0.258,299.361,0.7
rule_masquerade_fake_normal_high_stnum,0.3431,1.5891,0.245,655.06,0.733
rule_random_replay_frame_length_diff_anomalia,0.3433,1.7872,0.246,619.488,0.788
rule_random_replay_timestamp_anomaly,0.3437,0.6953,0.219,170.013,0.774
