Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_masquerade_fake_normal_mudancas_anomalias_estado_disjuntor,0.3439,0.7738,0.243,153.82,0.761
rule_masquerade_fake_normal_timestamp_diff_outside_normal_range,0.3445,1.5006,0.254,580.185,0.755
rule_injection_rajada_de_pacotes_em_intervalo_muito_curto,0.3448,0.3333,0.277,64.468,0.681
rule_random_replay_cb_status_diff_desvio,0.345,0.8027,0.265,334.18,0.737
rule_masquerade_fake_fault_falsification_address,0.3451,0.8226,0.272,299.181,0.687
rule_random_replay_frame_length_diff_desvio,0.3463,2.1865,0.26,926.503,0.741
rule_grayhole_irregular_intervals,0.3466,0.4846,0.252,105.437,0.744
rule_inverse_replay_flood,0.3471,0.4934,0.247,52.445,0.773
rule_masquerade_fake_fault_time_diff_anomaly,0.348,0.4936,0.247,166.395,0.706
rule_grayhole_cbstatus_change_sense,0.3481,0.3993,0.252,113.384,0.723
rule_high_StNum_stDiff_and_StNum,0.3488,0.64,0.22,144.405,0.808
rule_inverse_replay_pacotes_tdiff_grande,0.3496,1.4374,0.248,585.28,0.713
rule_random_replay_apdu_size_diff_desvio,0.3496,1.2696,0.26,379.967,0.74
rule_masquerade_fake_fault_frequency_anomaly,0.3496,1.4419,0.254,451.98,0.75
rule_inverse_replay_eth_src_dst,0.3506,1.1199,0.271,404.147,0.69
rule_poisoned_high_rate_timefromlastchange,0.3511,1.1014,0.245,395.329,0.799
rule_random_replay_sq_num_incremento_anomalo,0.3511,0.2555,0.277,21.031,0.699
rule_grayhole_stnum,0.3514,0.85,0.223,337.477,0.732
rule_random_replay_flood_rajada,0.3524,1.387,0.247,576.527,0.78
rule_grayhole_timefromlastchange_replay,0.3529,0.5362,0.255,180.658,0.751
rule_inverse_replay_sqnum,0.3544,1.0774,0.245,362.255,0.813
rule_masquerade_fake_fault_stdiff,0.3546,1.9912,0.265,809.664,0.763
rule_masquerade_fake_normal_anomaly,0.3561,0.3307,0.245,30.834,0.832
rule_grayhole_sqnum,0.3571,2.2155,0.233,641.99,0.727
rule_masquerade_fake_fault_grayhole,0.3577,1.1038,0.255,358.333,0.744
rule_random_replay_t_diff_anomalia,0.359,1.5148,0.245,608.024,0.76
rule_poisoned_high_rate_flood,0.3591,0.88,0.288,326.893,0.709
rule_inverse_replay_cb_status_diff,0.3605,0.8837,0.243,316.363,0.843
rule_masquerade_fake_normal_frequencia_anomalia_t_diff,0.3607,0.6587,0.246,217.471,0.814
rule_grayhole_goose_length_diff_change_sense_sequence,0.3616,0.3274,0.293,37.061,0.729
rule_poisoned_high_rate_statistical_anomaly,0.3618,0.6016,0.28,169.767,0.778
rule_inverse_replay_desvio_significativo,0.3625,0.8282,0.283,345.97,0.747
rule_grayhole_delay_replay,0.3633,0.7674,0.258,298.037,0.8025
rule_inverse_replay_stdiff_sqdiff,0.3637,0.6332,0.235,188.805,0.824
rule_injection_ethsrc_ethdst_outside_topology,0.3644,0.9098,0.302,312.348,0.664
rule_masquerade_fake_fault_sqdiff,0.3651,1.7266,0.263,697.282,0.787
rule_grayhole_cbstatus_falsification,0.3662,0.5683,0.25,171.171,0.815
rule_masquerade_fake_normal_zero_timestampdiff,0.3682,0.5956,0.236,113.878,1.1
rule_grayhole_sqnum_stnum_change_sense_sequence,0.3693,0.8868,0.263,317.6,0.77
rule_grayhole_frame_length_diff_change_sense,0.3716,0.3124,0.292,46.895,0.78
rule_grayhole_sqnum_stnum_change_sense,0.3743,0.6919,0.26,166.205,0.808
rule_poisoned_high_rate_combined,0.3763,1.5524,0.245,598.105,0.912
rule_grayhole_cbstatus_change_sense_sequence,0.3768,0.5682,0.251,101.489,0.818
rule_grayhole_goose_length_diff_injection,0.3772,1.2827,0.29,536.54,0.812
rule_random_replay_stnum_sqnum_mismatch,0.3776,0.8711,0.283,297.859,0.742
rule_poisoned_high_rate_stnum,0.3777,1.4475,0.247,576.42,0.85
rule_grayhole_timefromlastchange_change_sense,0.3783,0.7983,0.253,300.076,0.75
rule_masquerade_fake_normal_frequencia_anomalia_cb_status_go_id,0.3788,0.4143,0.288,87.825,0.7495
rule_masquerade_fake_fault_state_anomaly,0.379,1.3348,0.252,381.235,0.823
rule_masquerade_fake_fault_disjuntor_falsification_consistent,0.3792,0.7724,0.29,320.006,0.772
rule_masquerade_fake_normal_large_stdiff,0.3829,1.2637,0.267,462.102,0.823
rule_random_replay_goose_length_diff_anomalia,0.3866,0.626,0.25,157.469,0.888
rule_random_replay_st_num_incremento_anomalo,0.3877,1.3247,0.283,423.236,0.794
rule_random_replay_masquerade_falsificacao,0.3894,0.342,0.321,36.612,0.794
rule_grayhole_frame_length_diff_change_sense_sequence,0.3912,0.6943,0.295,151.943,0.8885
rule_grayhole_frame_length_diff_injection,0.3919,1.6222,0.29,663.752,0.866
rule_inverse_replay_grayhole,0.3925,1.3127,0.285,384.449,0.838
rule_random_replay_timestamp_diff_incremento_anomalo,0.3935,1.911,0.241,635.928,0.87
rule_masquerade_fake_fault_cbstatus_goID_falsification,0.395,0.8117,0.291,269.421,0.841
rule_inverse_replay_mudanca_anomala_gooselengthdiff_apdusize,0.3957,0.427,0.316,84.885,0.757
rule_masquerade_fake_normal_ethsrc_ethdst_cbstatus,0.3963,0.2953,0.329,38.695,0.741
rule_poisoned_high_rate_falsification_state,0.3963,1.4906,0.286,593.012,0.831
rule_inverse_replay_stnum,0.3965,0.4426,0.248,65.04,0.912
rule_grayhole_goose_length_diff_change_sense,0.3974,1.5361,0.293,612.075,0.892
rule_masquerade_fake_fault_packet_frequency_anomaly,0.3976,0.8459,0.257,308.796,0.887
rule_random_replay_timestamp_diff_pequeno,0.3994,0.859,0.253,328.017,0.897
rule_masquerade_fake_normal_increment_anomalous_sequence,0.3996,0.4356,0.3,79.623,0.81
rule_masquerade_fake_normal_mudancas_anomalias_cb_status_go_id,0.401,1.5609,0.284,663.736,0.85
rule_grayhole_ethsrc_dst_change,0.4028,0.8525,0.326,313.679,0.7885
rule_masquerade_fake_normal_large_sqdiff,0.4036,0.9394,0.269,291.067,0.874
rule_grayhole_cbstatus_change,0.4063,1.1338,0.285,351.849,0.865
rule_grayhole_falsification,0.4071,1.8147,0.284,378.31,0.887
rule_inverse_replay_frequencia_irregular_mudanca_estado,0.4095,0.8134,0.316,308.576,0.792
rule_masquerade_fake_normal_frequencia_irregular_mensagens,0.4103,1.4519,0.259,563.736,0.932
rule_random_replay_timestamp_diff_desvio,0.4115,2.5961,0.267,1080.699,0.928
rule_masquerade_fake_fault_ethsrc_ethdst_injection,0.4129,0.4125,0.339,75.276,0.775
rule_masquerade_fake_normal_repeticao_exata_pacotes_antigos,0.4159,1.5233,0.299,603.866,0.877
rule_grayhole_tdif_replay,0.417,0.9865,0.256,340.816,0.912
rule_inverse_replay_inconsistencies,0.4198,1.6667,0.325,690.072,0.88
rule_inverse_replay_frequencia_irregular_mudanca_delay,0.42,0.5692,0.332,139.676,0.874
rule_inverse_replay_frequencia_irregular_mudanca_estado_disjuntor,0.4229,0.4806,0.321,75.52,0.896
rule_masquerade_fake_fault_sequence_jump,0.4231,0.7673,0.331,295.749,0.836
rule_injection_ethsrc_falsification,0.4266,2.0136,0.268,635.936,0.888
rule_masquerade_fake_normal_sqnum_reset_pattern,0.4267,0.4271,0.328,123.076,0.874
rule_masquerade_fake_normal_diferenca_significativa_goose_length_diff_apdu_size_diff,0.433,2.2458,0.327,899.21,0.89
rule_masquerade_fake_fault_jumps_stnum_time_diff,0.4338,1.3642,0.318,387.792,0.875
rule_poisoned_high_rate_tdiff,0.4348,1.737,0.24,685.219,1.005
rule_masquerade_fake_fault_packet_disappearance,0.4355,0.6937,0.333,223.9,0.946
rule_inverse_replay_anomalous_frequency,0.436,0.7526,0.306,178.523,0.891
rule_injection_inconsistencias_entre_campos_derivados,0.437,0.9074,0.34,284.642,0.8485
rule_masquerade_fake_fault_falsification_consistente,0.4374,0.8653,0.369,329.801,0.758
rule_grayhole_tdif_change_sense,0.4374,3.4996,0.255,1069.816,0.941
rule_high_StNum_anomalies_frequency,0.4379,0.7529,0.355,287.926,0.852
rule_poisoned_high_rate_frequency,0.4398,1.6003,0.282,544.814,0.939
rule_masquerade_fake_fault_packet_reappearance,0.44,1.3132,0.33,549.83,0.917
rule_masquerade_fake_normal_diferenca_significativa_frame_length_diff_timestamp_diff,0.4411,1.1229,0.34,302.098,0.885
rule_masquerade_fake_normal_jumps_stnum_time_diff,0.4413,1.0928,0.326,434.518,0.926
rule_injection_freq_anomalous,0.4421,0.7064,0.352,174.464,0.89
rule_random_replay_falsification_state,0.4438,0.7265,0.344,297.52,0.808
rule_masquerade_fake_normal_reset,0.4479,0.802,0.345,236.73,0.9285
rule_masquerade_fake_fault_combination,0.4522,0.5255,0.332,119.99,0.924
rule_masquerade_fake_fault_falsification_disjuntor,0.4523,0.9282,0.33,313.418,0.878
rule_grayhole_delay_change_sense,0.453,1.3353,0.258,547.713,0.964
rule_inverse_replay_replay_old_packets,0.4537,0.6039,0.298,107.477,0.965
rule_masquerade_fake_normal_diferenca_significativa_delay_time_from_last_change,0.454,0.8646,0.339,185.036,0.983
rule_inverse_replay_flood_packets,0.4573,1.3504,0.301,563.995,0.981
rule_random_replay_grayhole_desaparecimento,0.4579,0.9323,0.32,339.912,0.956
rule_random_replay_falsification,0.4645,0.5222,0.344,112.538,0.95
rule_high_StNum_sqnum_reset_pattern,0.4665,0.8712,0.332,341.025,0.926
rule_masquerade_fake_fault_combination2,0.4668,1.6305,0.361,617.713,0.95
rule_injection_cbstatus_diff_outside_expected,0.4677,0.5271,0.352,92.062,0.942
rule_injection_jumps_stnum_time_diff,0.4683,1.1618,0.365,389.623,0.963
rule_masquerade_fake_normal_injection,0.4695,0.5491,0.375,178.142,0.999
rule_injection_pacotes_que_desaparecem_e_reaparecem_com_numeros_de_sequencia_fora_de_ordem,0.4723,0.9319,0.373,331.852,0.9295
rule_masquerade_fake_fault_combination_anomaly,0.4735,1.4775,0.335,598.687,1.012
rule_injection_cbstatus_falsification,0.4753,1.6018,0.313,632.11,0.939
rule_masquerade_fake_normal_cbstatus_timestamp_diff,0.4755,1.9627,0.333,697.673,1.025
rule_inverse_replay_length_diff,0.4789,1.2409,0.373,383.328,0.983
rule_inverse_replay_falsification,0.4819,0.6542,0.386,163.346,0.922
rule_random_replay_st_num_alto_sq_diff_baixo_timestamp_diff_pequeno,0.4843,0.8122,0.246,308.886,1.089
rule_masquerade_fake_normal_desvio_significativo_tráfego_normal,0.487,0.9195,0.38,344.804,0.91
rule_masquerade_fake_fault_combined,0.4884,0.7904,0.284,250.557,1.206
rule_inverse_replay_inconsistencias_campos_derivados,0.4884,1.0602,0.323,336.394,1.1435
rule_grayhole_sqdiff_zero,0.4964,3.1744,0.211,852.15,0.8
rule_inverse_replay_combination,0.5015,1.1722,0.337,379.008,1.07
rule_inverse_replay_replay,0.503,1.0879,0.375,460.76,0.968
rule_injection_sqnum_reset_pattern,0.5039,0.8558,0.375,321.789,0.922
rule_inverse_replay_sqnum_reset_pattern,0.5043,2.1408,0.365,871.325,1.015
rule_inverse_replay_delay,0.5061,4.6513,0.251,2032.008,0.983
rule_inverse_replay_deviation,0.5089,1.0733,0.401,358.047,0.939
rule_masquerade_fake_fault_combination3,0.5119,0.845,0.366,312.79,1.055
rule_poisoned_high_rate_replay,0.517,0.9309,0.422,329.58,0.954
rule_masquerade_fake_fault_estatistica,0.5171,0.4605,0.325,58.025,1.134
rule_grayhole_sqnum_stnum_jumps,0.5178,1.4396,0.335,553.662,1.169
rule_poisoned_high_rate_falsification,0.5238,1.5338,0.367,624.054,1.107
rule_masquerade_fake_fault_falsification,0.5243,0.9527,0.387,330.202,1.089
rule_masquerade_fake_fault_estatistica2,0.5348,0.4056,0.407,45.711,0.947
rule_poisoned_high_rate_reset_pattern,0.5354,1.5061,0.417,607.536,1.11
rule_grayhole_timestampdiff_zero,0.5397,5.1634,0.214,1831.214,0.8965
rule_inverse_replay_pattern_alternance,0.5422,1.241,0.361,372.301,1.174
rule_random_replay_replay_exato,0.5463,0.8297,0.344,286.178,1.07
rule_masquerade_fake_normal_diferenca_significativa_goose_length_diff_apdu_size_diff_frame_length_diff,0.5523,0.9473,0.373,298.423,1.232
rule_masquerade_fake_fault_replay,0.553,0.4077,0.421,61.017,1.005
rule_random_replay_replay,0.5587,0.7353,0.455,258.742,1.082
rule_injection_combined,0.563,1.0857,0.252,271.824,1.394
rule_injection_replay_exata_de_pacotes_antigos,0.5653,1.0998,0.41,385.909,1.245
rule_inverse_replay_go_id,0.573,1.064,0.332,381.636,0.934
rule_poisoned_high_rate_combination,0.578,0.8134,0.439,297.955,1.133
rule_masquerade_fake_normal_combined,0.5785,0.8957,0.251,320.405,1.1015
rule_inverse_replay_jumps_stnum_time_diff,0.5786,1.203,0.409,454.97,1.163
rule_poisoned_high_rate_injection,0.5818,0.7175,0.436,157.861,1.083
rule_high_StNum_injection_forged_packets,0.5894,0.9239,0.463,310.621,1.3155
rule_random_replay_combined,0.5932,0.9536,0.303,319.084,1.483
rule_injection_falsificacao_consistente_de_eth_src_dst_cb_status,0.5964,0.8632,0.368,165.271,1.264
rule_masquerade_fake_fault_rapid_packets,0.6094,5.4592,0.348,2050.253,1.3065
rule_inverse_replay_padrao_alternancia,0.6105,0.8016,0.477,221.864,1.256
rule_masquerade_fake_normal_replay,0.6132,1.2486,0.457,358.784,1.353
rule_grayhole_frame_length_diff_outlier,0.6186,5.0396,0.339,1753.008,0.959
rule_poisoned_high_rate_sqnum_reset_pattern,0.6252,0.4521,0.508,52.002,1.196
rule_masquerade_fake_fault_sqnum_reset_pattern,0.6265,0.8668,0.424,314.207,1.346
rule_random_replay_jumps_stnum_time_diff,0.6393,1.4542,0.495,584.608,1.34
rule_grayhole_suspicious_sqnum,0.6428,1.8718,0.313,730.743,1.052
rule_inverse_replay_combined,0.6514,0.4943,0.459,67.698,1.377
rule_poisoned_high_rate_jumps_stnum_time_diff,0.6563,1.2246,0.445,411.098,1.349
rule_high_StNum_falsification_pattern,0.666,5.6465,0.331,2033.363,1.282
rule_inverse_replay_cb_status,0.6664,4.6987,0.242,1299.32,1.0545
rule_grayhole_delay_change_sense_sequence,0.6679,1.1335,0.258,176.149,1.241
rule_grayhole_tdiff_nonzero,0.6741,7.7304,0.303,2025.464,1.004
rule_high_StNum_frequencia,0.6837,5.5585,0.254,1408.915,1.076
rule_masquerade_fake_fault_timestamp_anomaly,0.684,3.1686,0.34,851.128,1.051
rule_masquerade_fake_fault_time_difference_anomaly_sequence,0.6865,4.9222,0.261,1318.793,1.022
rule_grayhole_delay_outlier,0.6877,6.6952,0.26,1791.232,1.088
rule_poisoned_high_rate_injection_forged_packets,0.6931,0.6589,0.48,154.381,1.54
rule_masquerade_fake_fault_time_difference_anomaly,0.6943,4.534,0.349,1610.824,1.0435
rule_grayhole_timestamp_diff_outlier,0.6999,5.6402,0.35,2035.207,1.061
rule_grayhole_delay_anomalous,0.7042,5.5845,0.354,1426.203,1.0485
rule_masquerade_fake_fault_packet_frequency_anomaly_sequence,0.709,7.1554,0.261,2033.983,1.072
rule_inverse_replay_timestamp_diff,0.7108,7.8579,0.334,2116.986,1.084
rule_random_replay_sqnum_reset_pattern,0.713,1.0318,0.485,317.54,1.573
rule_masquerade_fake_fault_state_change_anomaly_sequence,0.7145,6.9075,0.257,2032.892,1.097
rule_high_StNum_frequencia_pattern,0.7202,7.7369,0.363,2238.825,1.0735
rule_masquerade_fake_fault_state_change_anomaly,0.7296,5.3699,0.35,1420.053,1.078
rule_inverse_replay_sqnum_stnum,0.7481,1.9041,0.289,775.238,1.147
rule_injection_cb_status_alterado,0.7632,10.9791,0.43,4711.971,1.085
rule_high_StNum_temporal_pattern,0.7682,3.527,0.292,1112.077,1.222
rule_grayhole_reset_sequence,0.785,8.3922,0.409,2297.322,1.137
rule_grayhole_tdif_change_sense_sequence,0.7857,6.2638,0.363,2018.639,1.223
rule_masquerade_fake_fault_falsification_disjuntor_consistent_sequence,0.8006,2.6667,0.412,851.571,1.173
rule_masquerade_fake_fault_falsification_disjuntor_consistent,0.8074,5.4703,0.434,2024.498,1.182
rule_high_StNum_flood_pattern,0.8135,5.6617,0.435,1380.911,1.1415
rule_random_replay_cb_status_alterado_go_id_alterado_delay_anomalo,0.8142,5.4418,0.245,1416.741,1.391
rule_grayhole_timefromlastchange_change_sense_sequence,0.8145,10.0802,0.258,2032.41,1.194
rule_grayhole_anomalous_frequency,0.8156,8.157,0.295,2273.275,1.207
rule_grayhole_frame_length_diff,0.8299,6.8763,0.425,2027.269,1.215
rule_grayhole_different_origins,0.8383,6.2486,0.33,1744.418,1.134
rule_high_StNum_temporal,0.8449,10.5901,0.32,2041.115,1.184
rule_random_replay_flood,0.8455,0.9517,0.424,198.8,1.768
rule_grayhole_different_destinations,0.8482,5.1291,0.462,1517.189,1.132
rule_injection_intervalos_entre_mensagens_anomais,0.858,6.9714,0.353,2270.953,1.246
rule_injection_cb_status_alterado_go_id_alterado_delay_anomalo,0.8635,9.7721,0.338,3013.869,1.231
rule_injection_frequencia_irregular_de_mensagens,0.8688,5.2167,0.515,1312.93,1.2
rule_masquerade_fake_fault_packet_reappearance_sequence,0.8824,1.8507,0.337,739.352,1.314
rule_injection_falsification_pattern,0.8835,9.0601,0.482,2022.196,1.147
rule_injection_desvio_significativo_em_relacao_a_media_mediana_do_trafego_normal,0.8949,6.6418,0.49,2237.637,1.256
rule_injection_jumps_stnum,0.8973,3.1427,0.472,1323.51,1.287
rule_injection_eth_src_dst_anomais,0.9028,8.5233,0.508,2041.504,1.23
rule_grayhole_replay,0.9087,4.4483,0.48,1583.474,1.312
rule_grayhole_sqnum_jumps,0.918,5.0567,0.495,1464.438,1.288
rule_high_StNum_falsification_state,0.9244,1.488,0.28,562.974,2.25
rule_grayhole_cbstatus_jumps,0.93,1.5933,0.333,491.627,1.408
rule_injection_st_num_e_sq_num_fora_de_ordem,0.9392,4.714,0.523,1526.185,1.274
rule_grayhole_sqnum_reset_pattern,0.9413,9.7328,0.477,2036.503,1.2815
rule_injection_sqnum_time_diff,0.945,1.6422,0.52,698.032,1.335
rule_high_StNum_replay,0.9456,6.5023,0.465,1407.363,1.345
rule_masquerade_fake_fault_combination_anomaly_sequence,0.9529,1.0115,0.398,117.369,1.417
rule_high_StNum_masquerade_pattern,0.9632,3.8771,0.37,1703.711,1.342
rule_grayhole_falsification_state,0.9691,7.5962,0.354,1678.755,1.3765
rule_injection_alternancia_entre_valores_normais_e_anomais,0.9816,15.2301,0.346,2032.595,1.224
rule_injection_st_num_alto_sq_diff_baixo_timestamp_diff_pequeno,0.9843,6.7254,0.325,1431.623,1.41
rule_high_StNum_jumps_stnum_time_diff,0.9946,9.1862,0.352,2117.57,1.423
rule_grayhole_jumps_stnum_time_diff,1.006,4.4371,0.49,1928.286,1.369
rule_injection_replay_pattern,1.0078,5.0506,0.378,2030.42,1.4325
rule_high_StNum_cb_status_go_id_apdu_size_diff,1.0568,8.4788,0.369,2181.857,1.484
rule_high_StNum_falsification,1.0626,7.2145,0.37,2438.976,1.538
rule_injection_valores_que_nunca_aparecem_no_trafego_normal,1.0634,3.2813,0.47,803.585,1.56
rule_grayhole_ethsrc_ethdst_jumps,1.0841,9.6398,0.587,2028.277,1.354
rule_injection_incrementos_anomais_em_sequencia,1.0966,4.0529,0.63,1340.422,1.467
rule_high_StNum_replay_pattern,1.1294,4.9492,0.526,2022.35,1.574
rule_random_replay_go_id_alterado,1.1701,0.9237,0.255,159.705,2.074
rule_grayhole_injection_forged_packets,1.1994,4.8526,0.62,1938.852,1.612
rule_high_StNum_injection,1.4151,10.0447,0.47,2173.667,1.966
