Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_inverse_replay_pacotes_frame_length_diff_grande,0.3949,0.687,0.241,211.247,0.797
rule_inverse_replay_eth_src_dst,0.3955,0.9715,0.271,330.189,0.8335
rule_injection_sqdiff,0.3966,1.0165,0.231,368.662,0.801
rule_inverse_replay_timestamp_diff,0.397,1.2163,0.251,366.078,0.806
rule_high_StNum_temporal,0.3972,0.8325,0.31,310.115,0.881
rule_grayhole_goose_length_diff_change_sense_sequence,0.3981,1.0374,0.286,348.82,0.944
rule_poisoned_high_rate_combined,0.3988,0.9074,0.242,202.211,0.822
rule_grayhole_timestamp_diff_out_of_range,0.3988,0.4454,0.25,82.903,0.8085
rule_masquerade_fake_fault_frequencia2,0.3994,1.0215,0.26,344.625,0.761
rule_grayhole_frame_length,0.3994,0.9998,0.214,341.403,0.844
rule_masquerade_fake_normal_frequencia_irregular_mensagens,0.4,0.9437,0.248,319.275,0.834
rule_inverse_replay_falsificacao_consistente,0.4,0.3246,0.306,21.151,0.903
rule_injection_inconsistencias_entre_campos_derivados,0.4013,0.4456,0.33,135.128,0.871
rule_grayhole_sqnum_stnum_change_sense_sequence,0.4017,0.7639,0.267,311.057,0.802
rule_inverse_replay_cb_status,0.4023,1.0119,0.241,317.406,0.796
rule_random_replay_timestamp_anomaly,0.4024,0.8801,0.22,139.819,0.9705
rule_random_replay_frame_length_diff_anomalia,0.4035,0.9642,0.245,377.692,0.8145
rule_random_replay_apdu_size_diff_incremento_anomalo,0.4036,1.5649,0.232,450.507,0.869
rule_masquerade_fake_fault_state_change_anomaly_sequence,0.404,0.6088,0.251,131.104,0.791
rule_masquerade_fake_fault_packet_frequency_anomaly_sequence,0.4051,0.9573,0.248,228.772,0.83
rule_random_replay_goose_length_diff_incremento_anomalo,0.4052,0.9115,0.231,180.917,0.797
rule_masquerade_fake_fault_state_change_anomaly,0.4055,1.1647,0.249,392.744,0.775
rule_random_replay_t_diff_anomalia,0.4056,0.5706,0.24,133.632,0.798
rule_grayhole_cbstatus_change_sense_sequence,0.406,0.8804,0.252,331.814,0.772
rule_inverse_replay_frequencia_irregular_mudanca_delay,0.4069,0.9567,0.318,344.103,0.9175
rule_random_replay_timestamp_diff_alternancia,0.4071,0.5692,0.24,131.05,0.805
rule_masquerade_fake_fault_time_difference_anomaly,0.4072,0.859,0.246,344.187,0.7805
rule_grayhole_frame_length_diff_outlier,0.4072,1.1811,0.242,237.544,0.82
rule_grayhole_sqnum_stnum_change_sense,0.4081,0.8879,0.265,348.055,0.832
