regra,latencia_media_segundos,latencia_std_segundos,num_chamadas
rule_poisoned_high_rate_injection,7.387921891855467e-07,4.066055577342312e-06,200052
rule_random_replay_go_id_alterado,6.672347741497698e-07,6.438061990994772e-07,200052
rule_high_StNum_injection,6.090530011508769e-07,6.925494038983411e-07,200052
rule_poisoned_high_rate_combination,5.302650162563569e-07,3.1418835855461618e-06,200052
rule_injection_jumps_stnum_time_diff,5.218208811717151e-07,7.890057273524892e-06,200052
rule_random_replay_grayhole_desaparecimento,5.134861983532065e-07,1.7801772332581797e-06,200052
rule_high_StNum_anomalies_frequency,4.908294143889838e-07,4.168023489350707e-06,200052
rule_high_StNum_falsification,4.886534351477954e-07,3.5966001817302975e-06,200052
rule_injection_sqnum_reset_pattern,4.879693532252567e-07,4.263101274759906e-06,200052
rule_masquerade_fake_fault_combination_anomaly_sequence,4.854415901718494e-07,2.119886798847304e-06,200052
rule_masquerade_fake_fault_packet_reappearance_sequence,4.819025952480825e-07,2.5093506276655724e-06,200052
rule_poisoned_high_rate_falsification,4.788216912861825e-07,1.6327203301644012e-06,200052
rule_random_replay_masquerade_falsificacao,4.461380289857331e-07,5.2325826681589516e-06,200052
rule_high_StNum_jumps_stnum_time_diff,4.305915360074122e-07,7.811623529921686e-07,200052
rule_grayhole_falsification,4.201663411518429e-07,2.1952994724523945e-06,200052
rule_random_replay_flood,4.1191589201606464e-07,2.6352402835920965e-07,200052
rule_high_StNum_falsification_pattern,4.0958031901454995e-07,2.976524563437569e-06,200052
rule_injection_cbstatus_falsification,4.066540702333777e-07,3.95975390523222e-06,200052
rule_masquerade_fake_fault_falsification_disjuntor_consistent_sequence,4.0024940507467237e-07,4.53411819953954e-06,200052
rule_high_StNum_replay,3.949718922681947e-07,4.061980966757923e-06,200052
rule_masquerade_fake_normal_ethsrc_ethdst_cbstatus,3.920489721259286e-07,2.8524413156131494e-06,200052
rule_poisoned_high_rate_sqnum_reset_pattern,3.812522144874806e-07,7.01964019495559e-07,200052
rule_injection_ethdst_falsification,3.8058789203542093e-07,4.7710019837002055e-06,200052
rule_random_replay_replay,3.770180003499999e-07,7.447556190703936e-07,200052
rule_masquerade_fake_fault_state_change_anomaly,3.726351444933562e-07,5.001451771918985e-06,200052
rule_masquerade_fake_fault_falsification_disjuntor_consistent,3.6565296534840477e-07,1.0306891911900414e-06,200052
rule_random_replay_sqnum_reset_pattern,3.6024557116613184e-07,5.730854268218973e-07,200052
